DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2022,91466.3,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2022,25811.1,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,ME,2022,17906.9,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2022,36608.7,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2022,46093.2,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,NO,2022,74759.7,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2022,27945.2,b
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2022,27523.3,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2022,27063.0,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,RS,2022,15791.9,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2022,42382.4,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2022,31457.9,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2022,24111.1,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,TR,2022,24356.8,
